site,month,surfWaterTempMean
LEWI,Jan,9.465
LEWI,Jan,9.494
LEWI,Jan,9.483
LEWI,Jan,9.416
LEWI,Jan,9.299
LEWI,Jan,9.162
LEWI,Jan,9.013
LEWI,Jan,8.871
LEWI,Jan,8.734
LEWI,Jan,8.61
LEWI,Jan,8.511
LEWI,Jan,8.424
LEWI,Jan,8.346
LEWI,Jan,8.26
LEWI,Jan,8.179
LEWI,Jan,8.079
LEWI,Jan,7.774
LEWI,Jan,7.74
LEWI,Jan,7.597
LEWI,Jan,7.514
LEWI,Jan,7.491
LEWI,Jan,7.458
LEWI,Jan,7.397
LEWI,Jan,7.343
LEWI,Jan,7.292
LEWI,Jan,7.244
LEWI,Jan,7.185
LEWI,Jan,7.122
LEWI,Jan,7.044
LEWI,Jan,7.007
LEWI,Jan,6.958
LEWI,Jan,6.91
LEWI,Jan,6.855
LEWI,Jan,6.805
LEWI,Jan,6.75
LEWI,Jan,6.702
LEWI,Jan,6.673
LEWI,Jan,6.643
LEWI,Jan,6.619
LEWI,Jan,6.59
LEWI,Jan,6.586
LEWI,Jan,6.589
LEWI,Jan,6.579
LEWI,Jan,6.578
LEWI,Jan,6.607
LEWI,Jan,6.668
LEWI,Jan,6.734
LEWI,Jan,6.789
LEWI,Jan,6.849
LEWI,Jan,6.913
LEWI,Jan,6.965
LEWI,Jan,6.999
LEWI,Jan,6.982
LEWI,Jan,6.923
LEWI,Jan,6.815
LEWI,Jan,6.713
LEWI,Jan,6.568
LEWI,Jan,6.398
LEWI,Jan,6.265
LEWI,Jan,6.147
LEWI,Jan,5.994
LEWI,Jan,5.866
LEWI,Jan,5.754
LEWI,Jan,5.635
LEWI,Jan,5.492
LEWI,Jan,5.382
LEWI,Jan,5.286
LEWI,Jan,5.183
LEWI,Jan,5.082
LEWI,Jan,4.998
LEWI,Jan,4.931
LEWI,Jan,4.837
LEWI,Jan,4.752
LEWI,Jan,4.659
LEWI,Jan,4.601
LEWI,Jan,4.516
LEWI,Jan,4.448
LEWI,Jan,4.395
LEWI,Jan,4.342
LEWI,Jan,4.295
LEWI,Jan,4.251
LEWI,Jan,4.206
LEWI,Jan,4.154
LEWI,Jan,4.105
LEWI,Jan,4.071
LEWI,Jan,4.088
LEWI,Jan,4.123
LEWI,Jan,4.175
LEWI,Jan,4.259
LEWI,Jan,4.401
LEWI,Jan,4.593
LEWI,Jan,4.838
LEWI,Jan,4.944
LEWI,Jan,4.974
LEWI,Jan,5.417
LEWI,Jan,5.692
LEWI,Jan,6.063
LEWI,Jan,6.355
LEWI,Jan,6.504
LEWI,Jan,6.537
LEWI,Jan,6.543
LEWI,Jan,6.503
LEWI,Jan,6.437
LEWI,Jan,6.335
LEWI,Jan,6.196
LEWI,Jan,6.043
LEWI,Jan,5.9
LEWI,Jan,5.759
LEWI,Jan,5.635
LEWI,Jan,5.528
LEWI,Jan,5.431
LEWI,Jan,5.331
LEWI,Jan,5.236
LEWI,Jan,5.138
LEWI,Jan,5.029
LEWI,Jan,4.915
LEWI,Jan,4.803
LEWI,Jan,4.696
LEWI,Jan,4.573
LEWI,Jan,4.461
LEWI,Jan,4.349
LEWI,Jan,4.247
LEWI,Jan,4.152
LEWI,Jan,4.059
LEWI,Jan,3.964
LEWI,Jan,3.881
LEWI,Jan,3.798
LEWI,Jan,3.717
LEWI,Jan,3.635
LEWI,Jan,3.562
LEWI,Jan,3.493
LEWI,Jan,3.437
LEWI,Jan,3.389
LEWI,Jan,3.374
LEWI,Jan,3.412
LEWI,Jan,3.54
LEWI,Jan,3.724
LEWI,Jan,3.95
LEWI,Jan,4.23
LEWI,Jan,4.592
LEWI,Jan,4.942
LEWI,Jan,5.36
LEWI,Jan,5.852
LEWI,Jan,6.245
LEWI,Jan,6.605
LEWI,Jan,6.911
LEWI,Jan,7.041
LEWI,Jan,6.874
LEWI,Jan,6.894
LEWI,Jan,6.815
LEWI,Jan,6.796
LEWI,Jan,6.823
LEWI,Jan,6.833
LEWI,Jan,6.81
LEWI,Jan,6.755
LEWI,Jan,6.665
LEWI,Jan,6.572
LEWI,Jan,6.508
LEWI,Jan,6.435
LEWI,Jan,6.371
LEWI,Jan,6.303
LEWI,Jan,6.263
LEWI,Jan,6.262
LEWI,Jan,6.242
LEWI,Jan,6.225
LEWI,Jan,6.227
LEWI,Jan,6.212
LEWI,Jan,6.193
LEWI,Jan,6.16
LEWI,Jan,6.124
LEWI,Jan,6.103
LEWI,Jan,6.103
LEWI,Jan,6.114
LEWI,Jan,6.147
LEWI,Jan,6.191
LEWI,Jan,6.242
LEWI,Jan,6.279
LEWI,Jan,6.305
LEWI,Jan,6.338
LEWI,Jan,6.385
LEWI,Jan,6.434
LEWI,Jan,6.491
LEWI,Jan,6.576
LEWI,Jan,6.678
LEWI,Jan,6.775
LEWI,Jan,6.914
LEWI,Jan,7.053
LEWI,Jan,7.224
LEWI,Jan,7.449
LEWI,Jan,7.733
LEWI,Jan,7.988
LEWI,Jan,8.272
LEWI,Jan,8.567
LEWI,Jan,8.843
LEWI,Jan,9.063
LEWI,Jan,9.259
LEWI,Jan,9.345
LEWI,Jan,9.359
LEWI,Jan,9.351
LEWI,Jan,9.175
LEWI,Jan,9.085
LEWI,Jan,8.803
LEWI,Jan,8.581
LEWI,Jan,8.552
LEWI,Jan,8.565
LEWI,Jan,8.534
LEWI,Jan,8.481
LEWI,Jan,8.456
LEWI,Jan,8.413
LEWI,Jan,8.314
LEWI,Jan,8.199
LEWI,Jan,8.082
LEWI,Jan,7.954
LEWI,Jan,7.83
LEWI,Jan,7.712
LEWI,Jan,7.62
LEWI,Jan,7.53
LEWI,Jan,7.438
LEWI,Jan,7.38
LEWI,Jan,7.342
LEWI,Jan,7.354
LEWI,Jan,7.393
LEWI,Jan,7.414
LEWI,Jan,7.369
LEWI,Jan,7.299
LEWI,Jan,7.225
LEWI,Jan,7.149
LEWI,Jan,7.063
LEWI,Jan,6.988
LEWI,Jan,6.942
LEWI,Jan,6.975
LEWI,Jan,7.126
LEWI,Jan,7.316
LEWI,Jan,7.52
LEWI,Jan,7.503
LEWI,Jan,7.622
LEWI,Jan,7.961
LEWI,Jan,8.245
LEWI,Jan,8.576
LEWI,Jan,8.962
LEWI,Jan,9.306
LEWI,Jan,9.538
LEWI,Jan,9.652
LEWI,Jan,9.678
LEWI,Jan,9.676
LEWI,Jan,9.607
LEWI,Jan,9.496
LEWI,Jan,9.385
LEWI,Jan,9.228
LEWI,Jan,9.059
LEWI,Jan,8.871
LEWI,Jan,8.679
LEWI,Jan,8.529
LEWI,Jan,8.39
LEWI,Jan,8.257
LEWI,Jan,8.118
